,Data,Folds,Vectorizer,Model,Mean Accuracy,Std Accuracy
76,Prediction,10,TFIDF,Random Forest,0.7923333333333332,0.06762724631717933
77,Prediction,10,TFIDF,SVM,0.7971666666666668,0.06320183717442256
78,Prediction,10,TFIDF,XGBoost,0.7424999999999999,0.06986594306241059
79,Prediction,10,TFIDF,Naive Bayes,0.8053333333333335,0.054138710734556665
80,gt_firstname_occupation_link,10,BOW,Logistic Regression,0.9003333333333332,0.04263410215621605
81,gt_firstname_occupation_link,10,BOW,Random Forest,0.8756666666666666,0.03146603106702702
82,gt_firstname_occupation_link,10,BOW,SVM,0.8796666666666667,0.04730398150966433
83,gt_firstname_occupation_link,10,BOW,XGBoost,0.8588333333333333,0.05967062370491308
84,gt_firstname_occupation_link,10,BOW,Naive Bayes,0.9005000000000001,0.04615222397434145
85,gt_firstname_occupation_link,10,TFIDF,Logistic Regression,0.892,0.038418745424597084
86,gt_firstname_occupation_link,10,TFIDF,Random Forest,0.8465,0.055943672067933145
87,gt_firstname_occupation_link,10,TFIDF,SVM,0.892,0.02084066537645411
88,gt_firstname_occupation_link,10,TFIDF,XGBoost,0.7801666666666667,0.03683634980106833
89,gt_firstname_occupation_link,10,TFIDF,Naive Bayes,0.9086666666666667,0.04090503908104994
